Name,Reactions,Comments,Reposts,Content,Date
Niehoffs Vaihinger Fruchtsaft GmbH,1,,1 repost,"Was hat afri cola mit künstlicher Intelligenz zu tun? Und welche Rolle spielt der Hamster?afri definiert sich als Liquid Pop Culture, die maximal frei durch den Zeitgeist fließt und steht spätestens seit Ende der 60er Jahre für Lebenslust, persönliche Freiheit und Spaß – mit Überzeugung präsentiert ohne tieferen Sinn und Verstand.Die Hamburger AgenturWvonZhat für unsere Marke afri eine fantastische neue Website und eine Social Media Kampagne mit künstlichen Kolleg*innen  wie#Midjourney#ChatGPT#Leonardo.ai und anderen künstlichen Kreativen geschaffen.Sven-Eric Frisch, Marketingleiter Niehoffs Vaihinger Fruchtsaft GmbH: „Die neuen AI-Kreationen sind eigenständige, sich immer wieder selbst erschaffende kleine Kunstwerke. Sie halten sich nicht an Vorgaben, entsprechen nicht den Erwartungen und streben keinerlei Nutzen an. Das ist für uns die ursprünglichste Definition von Pop Kultur. Nur wer sich wie wir vom Sinnzwang befreit, kann sich den Spaß erlauben, die eigene Webseite dem Unvorhersehbaren zu überlassen.“Anschauen, hier:www.afri.de#ai#socialmedia#chatgpt#werbeagentur",1 hour ago
Diego García del Pozo,1,,,,1 hour ago
Joseph Michael,10,7 comments,,"We're living in a new era.All of these images were generated with AI 🤯The level of detail is incredible.Midjourney V5 is the platform used here, set to be released soon.What do you think of these images?#ai#midjourney#generativeai",1 hour ago
João Pico,2,,,Female Stormtrooper from Star Wars.#midjourney#AI,1 hour ago
Alex Searle,6,2 comments,,"In case anyone is wondering, this is what I look like as a mighty Jedi against a backdrop of stormtroopers.Anyone else been playing around withMidjourneyand other#AIart?",1 hour ago
Lukasz Gazda,2,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",1 hour ago
Matteo Maria Ambrogi,1,,,"La tecnologia è sempre più alla portata del pubblico: più evolve, più diventa semplice, più diventa accessibile.Da questo dato di fatto, che è anche un interessante metro per valutarne l'efficacia, sorge un nuovo tema: capiamo sempre meno cosa accade dietro le quinte e ci dimentichiamo che#midjourneyo#chatGPTsono stati sviluppati da... Persone.Persone che fanno parte del tessuto delle aziende per cui lavorano e che quindi si muovono e creano a loro volta un terreno di coltura. E in questo terreno fertile proliferano (o no) comportamenti, mindset, bias che toccano, udite-udite, i temi della DE&I.Quindi tecnologia e DE&I sono più interconnesse di quanto ci ricordiamo o di quanto pensiamo.Grazie aDiversity Opportunity srlper l'opportunità di parlare come portavoce diArkage (Artattack Group)di temi che per noi come B Corp sono davvero molto importanti.",1 hour ago
Artificial Inspiration,142,8 comments,,"AI x 🏠 Pastel Paper Perfection ⛰️Want to make images like these?👇We now offer 1-to-1 Midjourney training!We're almost fully booked, so sign up soon!👉https://seedily.uwu.ai/Created by Midjourney user; @heleacla#paper#creative#Midjourney#AI#Creativity",1 hour ago
Leah Matthews,0,,,"GPT-4 is here.There's no denying that AI software has cause quite the stir the past few months - especially with the likes of ChatGPT and Midjourney opening the door for the majority to consume (but we'll come to those issues another time).The truth of the matter is that AI is here to stay and it's getting smarter. Whether you take advantage of it and apply it to your business, well, that's another matter entirely.So what can you expect from GPT-4 and why is this news?👉 For starters, GPT-4 has been trained to understand and answer a lot more complex questions than the previous GPT-3 we've all been familiar with.👉 It has a vastly improved output. One of the downfalls of GPT-3 was that it never really understood the text it was generating. GPT-4 goes a step further in that it better understands what you want of it and outputs at a more 'human-like' and nuanced level.👉 It has multimodal learning. Where GPT-3 could only understand text as an input, GPT-4 can be fed images, video and audio and respond with what it sees.👉 It is conversational. It has been designed to engage better in conversations and be much more fluid than it's predecessor.We will see GPT-4 rolled out in a lot of businesses over the next few weeks, some having already done so.What are your thoughts on AI? Is it something you are using in your business? 👇#ai#ailearning#chatgpt#gpt3#gpt4#systems",1 hour ago
Noel Nguessan,1,2 comments,,"YOU .com IA : Un mix de Google, ChatGPT, MidJourney…",1 hour ago
Saule Anafinova,0,,,,1 hour ago
elaasta,5,,,"Ci siamo rifatti il look con l'A.I. ✨🆕💻L'intelligenza artificiale per la generazione di immagini può essere uno strumento utile ed innovativo da inserire nel workflow creativo di un’agenzia.Per comprendere le potenzialità dell'A.I. abbiamo deciso di utilizzare#Midjourneyper la creazione di un nuovo set di 4 immagini per l'homepage del nostro sitowww.elaasta.com.Il primo passaggio è stato quello di delineare con precisione tutti gli elementi visivi che desideravamo ottenere, definendo in modo chiaro e dettagliato i#promptdestinati al processo creativo. Grazie alla funzionalità#blendingdi Midjourney, è stato possibile tradurre le immagini scelte in uno stile, coerente su tutto il set.Infine, grazie ad uno scambio interno tra i vari membri del team, abbiamo svolto un lavoro di#retouchdei visual generati dall'intelligenza artificiale utilizzando Adobe Photoshop, andando quindi a perfezionare la composizione.Questo progetto ci ha permesso non solo di dare una nuova veste alla nostra homepage, ma anche di sperimentare una nuova tecnologia e approfondire le nuove funzionalità offerte dall’A.I.#elaasta#artificialintelligence#digital#website",1 hour ago
Nassim Sarkar,0,,,Midjourney v5 rocks!!!,1 hour ago
Juan Luis Buenosvinos,2,,2 reposts,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",
Warren Grange,2,,,"Chat GPT-4 est sortie dans la soirée hier.Cela n'a pas du vous échapper.L'occasion pour moi de souligner la masterclass en marketing qu'Open AI nous a donné en 7 points :1) Préparer un produit disruptif par rapport à ce que la concurrence offrait.2) Donner un accès gratuit au grand public de la version Chat GPT-3, alors que vous êtes sur le point de finaliser la suivante Chat GPT-4.3) Le public se familiarise avec l'outil, le rentre dans son processus de travail.4) Le succès historique vous obligeant à scaller votre développement,malgré les ralentissements que vos serveurs subissent due à la demande grandissante.5) Vous proposez une offre payante (Chat GPT Plus), pour que vos utilisateurs premiums aient une expérience sans frictions.6) Vous sortez quelques semaines après la nouvelle version de votre outil Chat GTP-4 en accès seulement à ces utilisateurs premiums.7) Bingo Bango Bongo !Vous pouvez être sur que le nombre d'abonnements payants à Chat GPT a explosé à la hausse lors de la sortie de cette nouvelle version.Conclusion :Ne pas hésiter à sortir son service/produit efficace avant la sortie de son update prochaine. Être sur de la version release en première instance et de l'amélioration que propose sa mise à jour en fait à l'inverse de la politique des updates d'Adobe ou encore Microsoft Windows...What else ?#marketing#ai#intelligenceartificielle#chatgpt‍‍‍‍‍(illustration réalisée par mes soins à l'aide de Midjourney et Photoshop)",1 hour ago
FlowCode,3,,,Nosso blog novo tá no ar!Temos dois artigos esperando vocês lá:1 - Benefícios da adoção de tecnologias para o setor comercial;2 - Como No-Code pode impactar o setor de Recursos Humanos e engajar colaboradores.www.flowcode.cc/blog#nocode#lowcode#midjourney#webflow#rh#comercial#automação#sistemas#IA,1 hour ago
Elio Franco,2,,,Ciao a tutti!Il Copyright Office americano e la Corte di Cassazione italiana si sono espressi sul tema della tutela dell’opera d’arte creata con l’ausilio degli strumenti di intelligenza artificiale.#copyright#ai#intelligenzaartificiale#midjourney➡️ Leggi l'articolo:https://lnkd.in/dFStKAYw,1 hour ago
Greg Galstaun,3,,1 repost,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",
Alberto Oppenheimer,2,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",1 hour ago
Dr. Andree Bates,0,,,"A recent study, scheduled to be presented at an upcoming computer vision conference, demonstrates that#AIcan read#brainscansand re-create largely realistic versions of images a person has seen.As this technology develops, researchers say, it could have numerous applications, from exploring how various animal species perceive the world to perhaps one day recording human dreams and aiding communication in people with paralysis.Many labs have used AI to read brain scans and re-create images a subject has recently seen, such as human faces and photos of landscapes. The new study marks the first time an AI algorithm called Stable Diffusion, developed by a German group and publicly released in 2022, has been used to do this. Stable Diffusion is similar to other text-to-image “generative” AIs such as DALL-E 2 and Midjourney, which produce new images from text prompts after being trained on billions of images associated with text descriptions.Unlike previous efforts using AI algorithms to decipher brain scans, which had to be trained on large data sets, Stable Diffusion was able to get more out of less training for each participant by incorporating photo captions into the algorithm. It’s a novel approach that incorporates textual and visual information to “decipher the brain,” says Ariel Goldstein, a cognitive neuroscientist at Princeton University who was not involved with the work.",1 hour ago
Amiruddin Nagri,1,,,"Want to get started with Prompt Engineering?This post explores Prompt Engineering, compare and contrast techniques in text2text vs text2img models, transferability of prompt engineering techniques, discusses CLIP vs OpenCLIP, SD v1.5 vs SD v2.0https://lnkd.in/ggKPNSrURT/Like for max reach 🙏#stablediffusion#gpt3#gpt4#chatgpt#midjourney#automatic1111#generativeai#startup",1 hour ago
AIArtDev,0,,,Curious about GenerativeAI and Stable Diffusion?Checkout our (work-in-progress) Complete Guide to building GenerativeAI startup using Stable Diffusion here -https://bit.ly/sd-guide#stablediffusion#generativeai#startup#gpt4#chatgpt#automatic1111#invokeAI#playgroundAI#midjourney,1 hour ago
Maria Vannicola,0,,,#artificialinspiration#aiart#Midjourney#artificialintelligence#Technology#midjourneyart#midjourneyai#ai#aivisual#airender#aiexplorers#conceptart#aiartwork#aiartcommunity#aidesign#designinnovation#aicreativity#technology#midjourneycreativecommunity#innovation#Creativity#digitalmarketing#inteligenciaartificial#aigeneratedart#artexploration#imagination#brandingdesign#storytelling#branddesign#design#architecturaldesign#furniture#interiordesign#inspiration,1 hour ago
Armelle Achard Cornu,0,,,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",1 hour ago
Laura Martinez Serrano,4,,1 repost,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",
Laura Martinez Serrano,4,,1 repost,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",
Patryk Zulcinski,3,2 comments,,"Ten prompt do Chat Gpt generuje na podstawie składników, które masz w lodowce trzy różne przepisy + prompt do Midjourney…. 🤯Czas operacyjny?- 3 minuty (przepis + zdjęcie)Efekt?- WOW!",1 hour ago
Walaa Ajjawi,6,,1 repost,"New generative#AItools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",
Elcore Cloud,1,,,"⚡ 𝗚𝗼𝗼𝗴𝗹𝗲 has announced a series of AI-powered features for its cloud-computing business, intensifying the competition with rivals such as Microsoft and OpenAI.𝗚𝗼𝗼𝗴𝗹𝗲 𝗖𝗹𝗼𝘂𝗱 ☁️ is making strides in generative AI, which can create images, text, and video based on user prompts 🎨📝🎥 The new tools will enable users to create presentations, sales-training documents, take notes during meetings, and draft emails ✍️📧𝗚𝗼𝗼𝗴𝗹𝗲 is also providing developers access to its underlying AI models to develop their own applications. The company has signed several AI startups as customers for its cloud service, including Midjourney and AI21 🔥💪🚀Read more ✅https://lnkd.in/d9cv23Kp#googlecloud#elcore#elcorecloud",1 hour ago
EvArtology,0,,,Try out the multi-modal GPT demo.ChatGPT’s Latest Upgrade GPT-4🟣https://lnkd.in/dWp9Gsgp#OnePersonAIstartup#Evartology#bussines#digitalart#AIart#devops#startup#MachineLearning#AI#data#generativeAI#code#artist#artists#writing#art#publishing#GPT4#illustration#storytelling#drawing#buymeacoffee#creativity#midjourney#dalle3#stablediffusion#chatGPT#openAI,1 hour ago
Dimitri Cano,3,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",1 hour ago
inCode Systems,3,,2 reposts,"We imagined how promotional landing pages for the four Hogwarts Houses may look like. Here are some shots of the project.Take a closer look on each landing page at our Dribbble:https://lnkd.in/g-w7SHfyThis content was created with the help of AI. Hope, you enjoy it as much as we do 😊#landingpage#ai#midjourney#webdevelopment#webdesign#incodesystems#uiux#webdesigner#networking#wordpress#hogwarts#hogwartslegacy#Slytherin#Ravenclaw#Gryffindor#Hufflepuff",1 hour ago
Dr. Volker Meise,3,5 comments,,"""Disruptive"", ""insane"", ""mindblowing"" - immer, wenn neue Technologie so beschrieben wird, bin ich skeptisch. Nicht so bei#GTP-4 , der neuen Version des KI-Modells u.a. hinter#ChatGPT- denn die Auswirkungen sind kaum zu überschätzen. Hier die wichtigsten Fakten, warum.💪 Mehr Parameter: GPT-4 kann noch mehr Daten verarbeiten und komplexere Texte generieren als GPT-3, denn GPT-4 hat 170 Billionen Parameter im Vergleich zu 175 Milliarden von GPT-3.💪 Größere Trainingsmenge: GPT-4 wurde mit 45 GB Trainingsdaten angelernt, während bei GPT-3 nur 17 GB verwendet wurden. Dadurch hat GPT-4 hat mehr Wissen, versteht Kontext besser und macht weniger Fehler.💪 Bilder als Input: GPT-4 akzeptiert Bilder als Eingabe, versteht deren Inhalt und kann daraus Beschriftungen, Klassifizierungen und Analysen erzeugen (""multimodal"").Insgesamt ist GPT-4 in der Lage, Texte mit größerer Kohärenz und Natürlichkeit zu erzeugen als GPT-3. Es kann Aufgaben erledigen, die Textverständnis und Zusammenhänge erfordern - wie z.B. Zusammenfassungen. Und das war schon beim alten ChatGPT beeindruckend zu erleben.Die Auswirkungen werden weitreichend sein:⭐ Beratung und Forschung reloaded: Schon jetzt ist GPT-4 beeindruckend gut darin, komplexe Zusammenhänge zu verstehen und neu zu sortieren, etwa die Zusammensetzung von Medikamenten zu erkennen und Alternativen vorzuschlagen. Wird es mit Spezialdaten trainiert (bspw. allen wissenschaftlichen Artikeln eines Fachgebietes), können in kürzester Zeit Analysen erstellt werden, die früher aufgrund des Aufwands sehr lange gedauert haben oder gar nicht erst in Angriff genommen wurden.⭐ Call-Center werden den Weg der Zeitungen gehen: Sie werden komplett digital oder zur Nische, denn die Mensch-Maschine Kommunikation springt auf ein neues Level. Bisher musste man bei Chatbots mögliche Antworten der Nutzer:innen voraussehen, um sinnvolle Antworten bereitzuhalten. GPT-4 versteht auch komplexe Fragen und erzeugt realistische Antworten - die dann als Text oder (KI-generiert) in natürlicher Sprache ausgegeben werden.⭐ Wir werden unseren Augen nicht mehr trauen können: KI-basierte Dienste wie DALL-E, Midjourney oder Stable Diffusion sind bereits jetzt extrem gut in der Erzeugung von realistischen Fotos auf der Basis von Textbeschreibungen. Mit realen Fotos trainiert, können neue Bilder einer Person mit beliebigen Gesichtsausdrücken in frei wählbarer Umgebung generiert werden. Kleiner Nebeneffekt: Stockfoto-Portale werden überflüssig.⭐ Alte Fähigkeiten werden wertlos, neue Fertigkeiten sind gefragt: Einfache Texte schreiben oder simplen Programmcode erstellen? Das kann die Maschine ab jetzt besser und schneller. In Zukunft braucht es Fähigkeiten, die KI-Tools so zu steuern, dass das gewünschte Ergebnis herauskommt (""prompt engineering"").Kurz: ""Mindblowing"". Und ich bin mir sicher, dass noch längst nicht alles ist. Da kommt noch mehr.https://lnkd.in/emttWY-J#GPT4#ChatGPT#KI#AI#Disruption#digitaleTransformation",1 hour ago
Pape-Lamine Cissé,2,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",1 hour ago
Julian Caraulani,0,,,Generated in#midjourneyand edited in#lightroom. We are working to integrate next level image generation inSales Stack AIwith all social posts,1 hour ago
Revalino Sandoval,1,,,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",1 hour ago
Steffen Brieger,1,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",1 hour ago
Chris Branch ☕️,119,9 comments,3 reposts,"🦆 Spectacular Birds, Series I 🦜Which is your favourite? 👇1) Hummingbird2) Wood duck 🦆3) Kingfisher4) Peacock 🦚5) Keel-billed toucan6) Golden Pheasant7) Bohemian waxwing8) Parrot 🦜9) Flamingo 🦩Want to make images like these? 👇Sign up for our personalised 1-to-1 Midjourney AI training.But be quick, because we're almost fully booked!👉https://seedily.uwu.ai/#Birds#photograpghy#creativity#Midjourney#AI",1 hour ago
David Zinyama,13,,,‘Scooby-Doo’ characters in real life.Follow my ai art journey on Instagram:https://lnkd.in/ewCu8Ji2#aiart#ai#midjourney#midjourneyart#midjourneyai,2 hours ago
Abdel Bounane,5,,,"De l’intelligence artificielle dans une publicité de Coca-cola ? 🤖Il y a quelques jours, Coca-Cola a lancé une nouvelle publicité intitulée Masterpiece, réalisée par Henry Scholfield, qui mélange des séquences de tournage classique et l'intelligence artificielle pour donner vie à des œuvres d'art. 🎨La publicité met en scène un étudiant qui s'ennuie dans un musée jusqu'à ce que les œuvres d'art prennent vie de manière inattendue. La campagne met en vedette plusieurs œuvres célèbres telles Le cri de Munch, Le naufrage de JMW Turner et La fille à la boucle d'oreille de Vermeer, ainsi que des œuvres d'artistes émergents du monde entier. 🌐Le principe est connu : il rappelle les tableaux de Poudlard du monde d’Harry Potter qui interagissent les uns avec les autres ou La nuit au musée avec Ben Stiller.Pour réaliser cette publicité Blitzworks, l’agence derrière la campagne, a fait appel à de ""l'IA de pointe"", selon Ajab Samrai, le CCO mondial. Il s'agit d'un signal intéressant sur la manière dont les outils d'IA visuel pourrait être intégrée dans des projets de ce type à l'avenir. 🚀Chez Bright, on a commencé à utiliser l'I.A. sur contenus communication et marketing, avec de l’intelligence artificielle pour différents aspects :- L’idéation, MidJourney accélère notre production de concepts visuels pour nos projets.- Les rendus visuels, pour des arrières plan, des paysages, la création de personnages.- L’interaction, ChatGPT et les autres modèles de langages nous permettent d’imaginer des contenus de communication avec lesquels les audiences pourront interagir.Si vous souhaitez en discuter avec nous, rdv dans les commentaires !#stablediffusion#chatgpt#cocacola",2 hours ago
Kishore Kumar Naidugari,1,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",2 hours ago
Deven Joshi,1,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",2 hours ago
Anisa Ozalp,21,5 comments,1 repost,"I have just created some amazing animals made entirely out of gears usingMidjourney!🦜🦏🐪 Which gear animal is your favorite?#innovative#gearanimals#midjourneywork#technology#travel#teamwork#toughenvironments#machinery#efficiency#productivity""",2 hours ago
Romain VIAULT,3,,,Et si nos projets avaient été imaginés par une intelligence artificielle ?Consultations pour enfants & adolescent - CHS de l'Yonne à Auxerre#teamarchi#architectes#midjourney#ia#auxerre#enfance#constructionbois#biophilie,2 hours ago
Pascal Simoens,1,,,"ChatGPT3 : on en parle, mais en fin de compte c'est l'écrit qui compte. un petit article pour entrer dans la sémantique et la sémiotique de ChatGPT3 mais aussi notre atelier d'architecture à l'université",2 hours ago
Maulana Azizi Nasution,0,,,"I MADE THIS KID BOOK USING CHAT GPT AND MIDJOURNEYdo you believe it?...hello folksit's been long time i don't active anymore hereand i come back again bring you one useful tip that i tested from chat gpt and midjourney.here we go.so many YouTube videos explain you how to make money using chat gpt and midjourneyafter watching every video i found.i do some research and tried every aspect about prompt command of chat gptlike: write me 10 book titles for kid 4-12 years oldchat gpt will give and generate for you 10 titles you requestedsame as midjourneyyou have to put the command or prompt clearlyso midjourney will give you the image you wantexample: character design in the style of artgerm, colorful anthropomorphic tiger samurai in intricate silver armor, forest backgroundand see the resultyou know what?i used both of them tools to create and write a bookmy first book is a book for kid about space adventureand i published it on google play book, still under review for one week----------------------------here is one tip for you:use the technological sophistication to help you produce what you want, especially making money in the online world, if you are a skeptic in this matter, you will be left behind foreverthanks a ton- Azizi#virtualassistant#emailcopywriter",2 hours ago
Xania Pantoja De Prada,3,,,"Hola 👋! vamos con la herramienta de hoy, se llama : MidjourneyCrea imágenes con IA a partir de un texto.Muy útil para practicar prompt (comunicación humano-IA)Pueden hacer click en el video para ver mayor detalle de como funciona👇👇https://lnkd.in/ereys4rFEspero que les guste y les sea útil. Encantadísima de leer si les gustó (o no) y si les es útil, mejor aún 🤩 ¿La conocias?Nos vemos mañana 🙂- Link:www.midjourney.com- Dificultad: Fácil__Estaré compartiendo 1 herramienta al día, durante 50 días (menos los domingos) 😅, acá puedes leer el primer post 👉:https://lnkd.in/eYqQATN6...#50herramientasgeniales#herramientasgeniales#productividad#herramientas#eficienciaeneltrabajo#trucosyconsejos#hacks#diseño#orden#ventas#lifehacks#video#inteligenciaartificial",2 hours ago
Konrad Sell 🦩,3,1 comment,,"Nächste Woche ist es soweit: unser#newwork-Festival in derwunderbar Plagwitzgeht in die zweite Runde. Es gibt eine ganze Menge spannender Themen und wer noch unentschlossen ist, kann mich direkt für einen Rabattcode anschreiben. Der erleichtert die Entscheidung möglicherweise 😏, Link zur VA in den Comments.Wir haben uns in der Vorbereitung viel über New Leadership unterhalten. Ich habe vorgestern beim Meetup den Gedanken in die Runde geworfen, dass Führung nicht alles regeln wird, sondern dass es auch weiterhin staatliche Anreize für Unternehmen geben muss.Ein weiteres Thema, das New Work mindestens ebenso formen wird, blieb bisher etwas außen vor:#artificialintelligenceund die seit neuestem sehr real gewordenen Möglichkeiten für alle von uns, insbesondere als#coachund im Bereich#content.Ich habe deshalb zur Einstimmung Midjourney mal gebeten, ein paar Impressionen zu erzeugen: die Maschine die Texte macht, einen Co-Working Space mit dem Namen Wunderbar und eine Logoidee für mich 😄 Inklusive Titel. Crazy times.",2 hours ago
Sergio Forero Arango,2,1 comment,,"I asked the new#Chatgpt4to explain whatVibrant.iois and why it's ideal for large retail and hospitality. This is what it gave me. What do you think? Did it nail it?Bonus points: Midjourney's rendition of the pain we are helping stores fix.🌟 Introducing Vibrant: The Ultimate Softpost Solution for Large Retail Chains and Restaurant Franchises 🌟Are you looking to streamline your payment processes and elevate your customer experience across your large retail chain or restaurant franchise? We've got you covered! Introducing Vibrant, a game-changing softpost solution designed specifically to address your unique challenges:📱 Seamless Payments Across Locations: Vibrant turns the Android devices used by your staff into smart payment terminals, allowing your business to accept payments from customers effortlessly, no matter which store or restaurant they visit.💡 Consolidate and Optimize: With Vibrant, you can unlock the potential of existing hardware across all locations, eliminating the need for costly new devices and simplifying the management of your payment infrastructure.🚀 Enhance Staff Efficiency and Customer Satisfaction: Empower your staff to take contactless payments on the spot, reducing wait times, and improving the overall experience for your customers. Happier customers lead to increased loyalty and repeat visits!Transform your large retail chain or restaurant franchise with Vibrant's innovative softpost solution.Discover more about how Vibrant can help your business thrive today!#Vibrant#PaymentSolutions#RetailChains#RestaurantFranchises#CustomerExperience",2 hours ago
Vojtech Dlouhy,28,4 comments,,"Osobnosti českého byznysu znovu ve Zlíně. 🚀 ✨Jako jeden ze speakerů mám tu příležitost mluvit o AI technologiích, které nám mohou zjednodušit každodenní práci. Těšit se můžete například na Conversational AI, OpenAI (ChatGPT), Midjourney, Meta, D-ID a další. Na stagi budu se skvělýmiJana StehlíkováaHana Duchackova, která navíc téma automatizace doplní o svůj pohled na pracovní trh nové generace a robotizaci výroby. 💪Čtyři stage, 30+ řečníků, 350+ účastníků.KonferenceFenomén, 23. 3. 2023, Zlín.Zapište si do diáře. Budu tam.#feedyou#fenomen#konference#zlin",2 hours ago
Simon 👁️‍🗨️ Pétreau,12,10 comments,,Cette semaine sort GPT-4 et MidJourney v5.Welcome to le futur.,2 hours ago
Maria Salorio Estrada,3,2 comments,,"¿Qué debemos hacer los profesionales de la#comunicación, el#periodismoy el#marketingpara ser competitivos con la creación de contenidos de texto en la ola de la#inteligenciartificial#IA? 👇Convertirnos en pilotos de la#IAgenerativa. O lo que es lo mismo: aprender a ser#promptdeveloper, un profesional cuyo cometido es hacer las preguntas y dar las indicaciones precisas (#prompts) para guiar a la IA en la generación ágil de contenido coherente y relevante.Cuando esta#tecnologíasea una ""commodity"" y tengamos normalizado su uso, el matiz que nos diferenciará de nuestra competencia será la calidad de esas indicaciones y preguntas. Ellas definirán el valor y la originalidad de nuestro contenido.Los profesionales de la comunicación, el periodismo y el marketing tenemos especial habilidad para sonsacar información y encadenar respuestas y preguntas. Por tanto, disponemos de un terreno bien abonado para ser ""prompt developers""😁. Solo tenemos que adaptarnos a un nuevo interlocutor y compañero.Y después, una vez hayamos aparcado la IA, debemos poner la guinda final como creadores de contenido. Es decir, filtrar, humanizar y personalizar los textos que ha escrito.También es muy interesante aprovechar los ""prompts"" que hemos redactado para crear plantillas personalizadas que podamos emplear para agilizar la creación de futuros contenidos.Dejo aquí unos consejos iniciales, elaborados a partir de las formaciones impartidas porIEBS Business SchoolySuperWriter.com, que nos ayudarán a hilar más fino en la conversación que mantengamos con#ChatGPT👇🖊  Concreta el rol de la IA: por ejemplo, puedes pedirle que actúe como un “copywriter” si quieres escribir un tuit, o como un “chef”, si optas por escribir un artículo con las 10 mejores recetas para cocinar bacalao.🖊  Define un tono específico: en la versión gratuita debes indicarlo en el propio ""prompt"", en la de pago tan solo tienes que desplegar la lista de tonos de voz y hacer la selección (formal, informal, descriptivo, persuasivo...).🖊 Define el estilo de escritura: lo mismo: puedes establecerlo tú directamente o desplegar la lista de estilos en la versión de pago (académico, periodístico, conversacional, literario...)🖊 Define el canal de comunicación: no se escribe de la misma forma un post en Linkedin que en Instagram. Y tampoco un artículo para una revista científica que una entrada de blog.🖊 No pidas todo el contenido de una tacada: en el caso de un artículo, por ejemplo, puedes empezar solicitando el título y secciones (H2) y después ir encadenando indicaciones para la introducción, desarrollo de cada punto, el SEO, nuevas opciones de títulos, inclusión de fuentes o reducción de la extensión.👀: es posible que ChatGPT interrumpa la generación de contenido de forma repentina. Pídele que continúe y especifícale el punto en el que se detuvo.La imagen que ilustra mi post ha sido creada con Midjourney 😉.",2 hours ago
Margie Ramsay,2,,,"Pattern, translucency, colour and form.#midjourney#aicc#aiart",2 hours ago
Dennis Lippens,10,,,"🔥 Battle of the AI Image Titans: Midjourney vs. Dall-E 2! 🎨🚀 Midjourney and Dall-E 2 have taken the AI world by storm, both offering groundbreaking ways to create stunning visuals from textual descriptions. Let's dive into a comparison between these two industry leaders!🎭 When it comes to interpreting descriptions, Midjourney tends to be less literal than Dall-E 2. This means you might get more creative and unexpected results, which can be perfect for certain projects.✨ In terms of detail and lighting effects, Midjourney steals the show. Its advanced capabilities allow it to produce lifelike and captivating images that can leave you in awe.💰 Comparing their pricing structures, Midjourney emerges as a more budget-friendly choice. This makes it an ideal tool for content marketing, brainstorming, and other artistic needs where cost-effectiveness is crucial.🤔 So, which AI image creator is the right fit for you? It all depends on your needs and preferences, but one thing's for sure: both Midjourney and Dall-E 2 are reshaping the creative landscape!",2 hours ago
Massimo Bruni,6,1 comment,1 repost,"Lorsque vous demandez à une IA générative d’images (e.g Midjourney, Dall-e, Stable Diffusion) de reproduire le style d’un artiste, cela suppose que cette IA ait été entraînée sur les œuvres de l’artiste.Aucun problème, si ces œuvres sont dans le domaine public. Mais parfois, avec Internet, on a tendance à croire que l’image d’un site est nécessairement publique. Ainsi, le travail de nombreux artistes a pu être utilisé pour entraîner des IA, sans réel consentement, ou avec une considération plutôt lâche du droit d’auteur ou d’autrice.C’est pourquoi un collectif d’artistes s’est crée pour étudier ces questions et proposer des outils :https://spawning.ai/avec l’ambition de maîtriser quel usage automatisé peut être fait des œuvres. L’artiste peut-il (elle) opt-out pour ses œuvres ? Et comment ?Vastes questions de droit numérique...",2 hours ago
Maurizio Di Meo,1,,,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",2 hours ago
